Model,Run,Fold,AUC,Sens,Spec,F1,TP,TN,FP,FN
SwinUNETR-LP,1,1,0.838,0.6,1.0,0.75,12,4,0,8
SwinUNETR-LP,1,2,0.963,0.85,1.0,0.919,17,4,0,3
SwinUNETR-LP,1,3,0.842,0.632,1.0,0.774,12,4,0,7
SwinUNETR-LP,1,4,0.76,0.85,0.6,0.872,17,3,2,3
SwinUNETR-LP,1,5,0.895,0.789,1.0,0.882,15,5,0,4
SwinUNETR-LP,2,1,0.838,0.65,1.0,0.788,13,4,0,7
SwinUNETR-LP,2,2,0.938,0.85,1.0,0.919,17,4,0,3
SwinUNETR-LP,2,3,0.895,0.947,0.75,0.947,18,3,1,1
SwinUNETR-LP,2,4,0.64,0.4,1.0,0.571,8,5,0,12
SwinUNETR-LP,2,5,0.884,0.789,1.0,0.882,15,5,0,4
SwinUNETR-LP,3,1,0.825,0.65,1.0,0.788,13,4,0,7
SwinUNETR-LP,3,2,0.938,0.85,1.0,0.919,17,4,0,3
SwinUNETR-LP,3,3,0.855,0.895,0.75,0.919,17,3,1,2
SwinUNETR-LP,3,4,0.73,0.4,1.0,0.571,8,5,0,12
SwinUNETR-LP,3,5,0.842,0.632,1.0,0.774,12,5,0,7
AG-MSF,1,1,0.787,0.7,1.0,0.824,14,4,0,6
AG-MSF,1,2,0.837,0.7,1.0,0.824,14,4,0,6
AG-MSF,1,3,0.829,0.579,1.0,0.733,11,4,0,8
AG-MSF,1,4,0.68,0.8,0.6,0.842,16,3,2,4
AG-MSF,1,5,0.779,0.579,1.0,0.733,11,5,0,8
AG-MSF,2,1,0.775,0.8,0.75,0.865,16,3,1,4
AG-MSF,2,2,0.938,0.85,1.0,0.919,17,4,0,3
AG-MSF,2,3,0.868,0.632,1.0,0.774,12,4,0,7
AG-MSF,2,4,0.62,0.8,0.6,0.842,16,3,2,4
AG-MSF,2,5,0.811,0.842,0.8,0.889,16,4,1,3
AG-MSF,3,1,0.75,0.55,1.0,0.71,11,4,0,9
AG-MSF,3,2,0.938,0.75,1.0,0.857,15,4,0,5
AG-MSF,3,3,0.803,0.632,1.0,0.774,12,4,0,7
AG-MSF,3,4,0.69,0.7,0.8,0.8,14,4,1,6
AG-MSF,3,5,0.811,0.579,1.0,0.733,11,5,0,8
MAE-Tiny3D,1,1,0.75,0.85,0.75,0.895,17,3,1,3
MAE-Tiny3D,1,2,0.938,0.9,1.0,0.947,18,4,0,2
MAE-Tiny3D,1,3,0.855,0.684,1.0,0.812,13,4,0,6
MAE-Tiny3D,1,4,0.72,0.45,1.0,0.621,9,5,0,11
MAE-Tiny3D,1,5,0.853,0.684,1.0,0.812,13,5,0,6
MAE-Tiny3D,2,1,0.713,0.7,0.75,0.8,14,3,1,6
MAE-Tiny3D,2,2,0.95,0.8,1.0,0.889,16,4,0,4
MAE-Tiny3D,2,3,0.803,0.632,1.0,0.774,12,4,0,7
MAE-Tiny3D,2,4,0.81,0.65,1.0,0.788,13,5,0,7
MAE-Tiny3D,2,5,0.916,0.947,0.8,0.947,18,4,1,1
MAE-Tiny3D,3,1,0.825,0.95,0.75,0.95,19,3,1,1
MAE-Tiny3D,3,2,0.9,0.85,1.0,0.919,17,4,0,3
MAE-Tiny3D,3,3,0.789,0.737,1.0,0.848,14,4,0,5
MAE-Tiny3D,3,4,0.75,0.4,1.0,0.571,8,5,0,12
MAE-Tiny3D,3,5,0.884,0.895,0.8,0.919,17,4,1,2
SegFormer3D-MSCA,1,1,0.85,0.7,1.0,0.824,14,4,0,6
SegFormer3D-MSCA,1,2,0.588,0.85,0.5,0.872,17,2,2,3
SegFormer3D-MSCA,1,3,0.776,0.526,1.0,0.69,10,4,0,9
SegFormer3D-MSCA,1,4,0.86,0.85,1.0,0.919,17,5,0,3
SegFormer3D-MSCA,1,5,0.642,0.947,0.6,0.923,18,3,2,1
SegFormer3D-MSCA,2,1,0.637,0.8,0.75,0.865,16,3,1,4
SegFormer3D-MSCA,2,2,0.85,0.9,0.75,0.923,18,3,1,2
SegFormer3D-MSCA,2,3,0.671,0.895,0.5,0.895,17,2,2,2
SegFormer3D-MSCA,2,4,0.77,1.0,0.6,0.952,20,3,2,0
SegFormer3D-MSCA,2,5,0.684,0.684,0.8,0.788,13,4,1,6
SegFormer3D-MSCA,3,1,0.762,0.5,1.0,0.667,10,4,0,10
SegFormer3D-MSCA,3,2,0.775,0.75,0.75,0.833,15,3,1,5
SegFormer3D-MSCA,3,3,0.276,0.842,0.25,0.842,16,1,3,3
SegFormer3D-MSCA,3,4,0.76,0.5,1.0,0.667,10,5,0,10
SegFormer3D-MSCA,3,5,0.905,0.947,0.8,0.947,18,4,1,1
