Model,Model_Code,Run,FPR,TPR,Threshold
UNet++,unet_plusplus,Run 1 (seed=42),0.0,0.0,inf
UNet++,unet_plusplus,Run 1 (seed=42),0.0,0.05263157894736842,0.86387634
UNet++,unet_plusplus,Run 1 (seed=42),0.0,0.7368421052631579,0.37277433
UNet++,unet_plusplus,Run 1 (seed=42),0.2,0.7368421052631579,0.34583184
UNet++,unet_plusplus,Run 1 (seed=42),0.2,0.8947368421052632,0.29424328
UNet++,unet_plusplus,Run 1 (seed=42),0.8,0.8947368421052632,0.26236278
UNet++,unet_plusplus,Run 1 (seed=42),0.8,0.9473684210526315,0.25829256
UNet++,unet_plusplus,Run 1 (seed=42),1.0,0.9473684210526315,0.25001162
UNet++,unet_plusplus,Run 1 (seed=42),1.0,1.0,0.23634358
UNet++,unet_plusplus,Run 2 (seed=123),0.0,0.0,inf
UNet++,unet_plusplus,Run 2 (seed=123),0.0,0.05263157894736842,0.9321448
UNet++,unet_plusplus,Run 2 (seed=123),0.0,0.7894736842105263,0.39378804
UNet++,unet_plusplus,Run 2 (seed=123),0.2,0.7894736842105263,0.3683886
UNet++,unet_plusplus,Run 2 (seed=123),0.2,0.8421052631578947,0.2688838
UNet++,unet_plusplus,Run 2 (seed=123),0.8,0.8421052631578947,0.23082098
UNet++,unet_plusplus,Run 2 (seed=123),0.8,0.8947368421052632,0.22561224
UNet++,unet_plusplus,Run 2 (seed=123),1.0,0.8947368421052632,0.22305004
UNet++,unet_plusplus,Run 2 (seed=123),1.0,1.0,0.12217675
UNet++,unet_plusplus,Run 3 (seed=456),0.0,0.0,inf
UNet++,unet_plusplus,Run 3 (seed=456),0.0,0.05263157894736842,0.90708876
UNet++,unet_plusplus,Run 3 (seed=456),0.0,0.7894736842105263,0.3746357
UNet++,unet_plusplus,Run 3 (seed=456),0.4,0.7894736842105263,0.2837002
UNet++,unet_plusplus,Run 3 (seed=456),0.4,0.8421052631578947,0.27875456
UNet++,unet_plusplus,Run 3 (seed=456),0.8,0.8421052631578947,0.2509572
UNet++,unet_plusplus,Run 3 (seed=456),0.8,0.9473684210526315,0.2327791
UNet++,unet_plusplus,Run 3 (seed=456),1.0,0.9473684210526315,0.23267289
UNet++,unet_plusplus,Run 3 (seed=456),1.0,1.0,0.21252
DenseNet121,densenet121,Run 1 (seed=42),0.0,0.0,inf
DenseNet121,densenet121,Run 1 (seed=42),0.0,0.05263157894736842,0.70167744
DenseNet121,densenet121,Run 1 (seed=42),0.0,0.631578947368421,0.49274135
DenseNet121,densenet121,Run 1 (seed=42),0.2,0.631578947368421,0.47782883
DenseNet121,densenet121,Run 1 (seed=42),0.2,0.8421052631578947,0.42699915
DenseNet121,densenet121,Run 1 (seed=42),0.4,0.8421052631578947,0.4160503
DenseNet121,densenet121,Run 1 (seed=42),0.4,0.8947368421052632,0.40984172
DenseNet121,densenet121,Run 1 (seed=42),0.8,0.8947368421052632,0.398043
DenseNet121,densenet121,Run 1 (seed=42),0.8,1.0,0.36754215
DenseNet121,densenet121,Run 1 (seed=42),1.0,1.0,0.35218605
DenseNet121,densenet121,Run 2 (seed=123),0.0,0.0,inf
DenseNet121,densenet121,Run 2 (seed=123),0.0,0.05263157894736842,0.8710581
DenseNet121,densenet121,Run 2 (seed=123),0.0,0.631578947368421,0.55113894
DenseNet121,densenet121,Run 2 (seed=123),0.2,0.631578947368421,0.52935356
DenseNet121,densenet121,Run 2 (seed=123),0.2,0.8421052631578947,0.34314784
DenseNet121,densenet121,Run 2 (seed=123),0.6,0.8421052631578947,0.2828776
DenseNet121,densenet121,Run 2 (seed=123),0.6,0.9473684210526315,0.25134674
DenseNet121,densenet121,Run 2 (seed=123),0.8,0.9473684210526315,0.24421296
DenseNet121,densenet121,Run 2 (seed=123),0.8,1.0,0.24250364
DenseNet121,densenet121,Run 2 (seed=123),1.0,1.0,0.22778706
DenseNet121,densenet121,Run 3 (seed=456),0.0,0.0,inf
DenseNet121,densenet121,Run 3 (seed=456),0.0,0.05263157894736842,0.8842842
DenseNet121,densenet121,Run 3 (seed=456),0.0,0.5789473684210527,0.5751449
DenseNet121,densenet121,Run 3 (seed=456),0.2,0.5789473684210527,0.49900264
DenseNet121,densenet121,Run 3 (seed=456),0.2,0.8421052631578947,0.2636303
DenseNet121,densenet121,Run 3 (seed=456),0.4,0.8421052631578947,0.22559872
DenseNet121,densenet121,Run 3 (seed=456),0.4,0.8947368421052632,0.21746385
DenseNet121,densenet121,Run 3 (seed=456),0.6,0.8947368421052632,0.19637872
DenseNet121,densenet121,Run 3 (seed=456),0.6,0.9473684210526315,0.18458053
DenseNet121,densenet121,Run 3 (seed=456),1.0,0.9473684210526315,0.14571178
DenseNet121,densenet121,Run 3 (seed=456),1.0,1.0,0.1420464
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.0,0.0,inf
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.0,0.05263157894736842,0.60085005
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.0,0.631578947368421,0.308117
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.2,0.631578947368421,0.2875867
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.2,0.8947368421052632,0.24013917
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.4,0.8947368421052632,0.23333454
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),0.4,0.9473684210526315,0.23105934
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),1.0,0.9473684210526315,0.22147706
EfficientNet-B0,efficientnet_b0,Run 1 (seed=42),1.0,1.0,0.22132578
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.0,0.0,inf
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.0,0.05263157894736842,0.556975
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.0,0.6842105263157895,0.45615196
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.2,0.6842105263157895,0.44265
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.2,0.8421052631578947,0.40613246
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.6,0.8421052631578947,0.38318866
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.6,0.8947368421052632,0.37644014
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.8,0.8947368421052632,0.36941648
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),0.8,1.0,0.32464746
EfficientNet-B0,efficientnet_b0,Run 2 (seed=123),1.0,1.0,0.32273513
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.0,0.0,inf
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.0,0.05263157894736842,0.8066262
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.0,0.7368421052631579,0.4639836
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.2,0.7368421052631579,0.40212044
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),0.2,0.8421052631578947,0.3726
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),1.0,0.8421052631578947,0.24114951
EfficientNet-B0,efficientnet_b0,Run 3 (seed=456),1.0,1.0,0.2171396
