model,fold,brier,ece
SwinUNETR-LP,1,0.14927089232527532,0.12651580323775607
SwinUNETR-LP,2,0.1270204057173309,0.08017005274693174
SwinUNETR-LP,3,0.13627546842579927,0.08758270740509033
SwinUNETR-LP,4,0.12570307896677813,0.1348704323172569
SwinUNETR-LP,5,0.16331294445817113,0.11964862296978634
AG-MSF,1,0.1255125474299552,0.12216700613498688
AG-MSF,2,0.1346993560358499,0.0684063856800397
AG-MSF,3,0.1377421032389695,0.08118867625792821
AG-MSF,4,0.13126729409938628,0.2210112363100052
AG-MSF,5,0.14168666975883001,0.10560434063275656
MAE-Tiny3D,1,0.1202527255606524,0.068521353105704
MAE-Tiny3D,2,0.15015091175828507,0.16747960820794108
MAE-Tiny3D,3,0.17548891503808292,0.20851137116551396
MAE-Tiny3D,4,0.1317453276145366,0.06158441305160523
MAE-Tiny3D,5,0.12547954170369055,0.09432495633761087
SegFormer3D-MSCA,1,0.1423727626661989,0.217196136713028
SegFormer3D-MSCA,2,0.22136598701686516,0.2580637484788894
SegFormer3D-MSCA,3,0.14511202027802797,0.08487684031327566
SegFormer3D-MSCA,4,0.15440815898259355,0.1479922309517861
SegFormer3D-MSCA,5,0.13987154755266454,0.15322765707969668
